Date,Discharge
10/12/2016,979
10/13/2016,1140
10/14/2016,994
10/15/2016,1060
10/16/2016,989
10/17/2016,982
10/18/2016,1180
10/19/2016,1160
10/20/2016,1060
10/21/2016,1010
10/22/2016,1080
10/23/2016,936
10/24/2016,956
10/25/2016,1070
10/26/2016,1040
10/27/2016,1030
10/28/2016,1040
10/29/2016,1040
10/30/2016,1010
10/31/2016,1020
11/1/2016,1010
11/2/2016,1030
11/3/2016,1020
11/4/2016,1020
11/5/2016,1010
11/6/2016,1010
11/7/2016,1010
11/8/2016,1020
11/9/2016,1020
11/10/2016,1030
11/11/2016,1020
11/12/2016,1080
11/13/2016,1050
11/14/2016,1110
11/15/2016,1050
11/16/2016,1040
11/17/2016,1030
11/18/2016,1030
11/19/2016,1030
11/20/2016,1020
11/21/2016,1030
11/22/2016,1050
11/23/2016,1050
11/24/2016,1370
11/25/2016,1040
11/26/2016,1040
11/27/2016,1030
11/28/2016,1020
11/29/2016,2550
11/30/2016,2640
12/1/2016,2050
12/2/2016,1190
12/3/2016,1000
12/4/2016,1140
12/5/2016,1560
12/6/2016,2000
12/7/2016,1550
12/8/2016,1030
12/9/2016,1030
12/10/2016,1040
12/11/2016,1040
12/12/2016,1030
12/13/2016,1040
12/14/2016,1030
12/15/2016,1040
12/16/2016,1040
12/17/2016,1040
12/18/2016,1050
12/19/2016,1060
12/20/2016,1050
12/21/2016,1190
12/22/2016,1380
12/23/2016,1130
12/24/2016,1180
12/25/2016,1040
12/26/2016,1040
12/27/2016,1050
12/28/2016,1210
12/29/2016,1660
12/30/2016,1310
12/31/2016,1390
1/1/2017,1310
1/2/2017,2200
1/3/2017,4850
1/4/2017,2050
1/5/2017,1170
1/6/2017,1240
1/7/2017,1400
1/8/2017,1450
1/9/2017,1260
1/10/2017,1190
1/11/2017,1360
1/12/2017,1130
1/13/2017,1130
1/14/2017,1350
1/15/2017,1280
1/16/2017,1090
1/17/2017,1110
1/18/2017,1340
1/19/2017,1320
1/20/2017,2170
1/21/2017,3160
1/22/2017,4550
1/23/2017,3060
1/24/2017,1750
1/25/2017,1230
1/26/2017,1180
1/27/2017,1120
1/28/2017,1010
1/29/2017,871
1/30/2017,807
1/31/2017,966
2/1/2017,967
2/2/2017,958
2/3/2017,944
2/4/2017,981
2/5/2017,958
2/6/2017,971
2/7/2017,1040
2/8/2017,1130
2/9/2017,1150
2/10/2017,1090
2/11/2017,968
2/12/2017,934
2/13/2017,950
2/14/2017,948
2/15/2017,1070
2/16/2017,1120
2/17/2017,947
2/18/2017,941
2/19/2017,946
2/20/2017,976
2/21/2017,936
2/22/2017,956
2/23/2017,915
2/24/2017,912
2/25/2017,897
2/26/2017,894
2/27/2017,907
2/28/2017,923
3/1/2017,916
3/2/2017,1070
3/3/2017,960
3/4/2017,912
3/5/2017,883
3/6/2017,880
3/7/2017,912
3/8/2017,959
3/9/2017,889
3/10/2017,1130
3/11/2017,1270
3/12/2017,1170
3/13/2017,1180
3/14/2017,967
3/15/2017,1020
3/16/2017,956
3/17/2017,886
3/18/2017,959
3/19/2017,889
3/20/2017,897
3/21/2017,894
3/22/2017,1140
3/23/2017,928
3/24/2017,880
3/25/2017,883
3/26/2017,955
3/27/2017,886
3/28/2017,1530
3/29/2017,1100
3/30/2017,927
3/31/2017,1550
4/1/2017,1270
4/2/2017,957
4/3/2017,1310
4/4/2017,1610
4/5/2017,4590
4/6/2017,6860
4/7/2017,3030
4/8/2017,1460
4/9/2017,1080
4/10/2017,956
4/11/2017,939
4/12/2017,955
4/13/2017,880
4/14/2017,841
4/15/2017,832
4/16/2017,830
4/17/2017,814
4/18/2017,864
4/19/2017,841
4/20/2017,819
4/21/2017,822
4/22/2017,808
4/23/2017,1120
4/24/2017,2430
4/25/2017,1540
4/26/2017,1200
4/27/2017,887
4/28/2017,835
4/29/2017,776
4/30/2017,787
5/1/2017,980
5/2/2017,915
5/3/2017,899
5/4/2017,1190
5/5/2017,1380
5/6/2017,1060
5/7/2017,980
5/8/2017,993
5/9/2017,993
5/10/2017,977
5/11/2017,1010
5/12/2017,1180
5/13/2017,1170
5/14/2017,974
5/15/2017,984
5/16/2017,984
5/17/2017,988
5/18/2017,951
5/19/2017,934
5/20/2017,916
5/21/2017,2110
5/22/2017,2500
5/23/2017,1560
5/24/2017,2750
5/25/2017,1460
5/26/2017,995
5/27/2017,977
5/28/2017,1180
5/29/2017,1430
5/30/2017,2260
5/31/2017,1480
6/1/2017,1060
6/2/2017,1040
6/3/2017,1000
6/4/2017,1110
6/5/2017,2690
6/6/2017,1450
6/7/2017,1090
6/8/2017,1150
6/9/2017,1070
6/10/2017,1070
6/11/2017,1080
6/12/2017,1080
6/13/2017,1100
6/14/2017,1320
6/15/2017,1430
6/16/2017,1300
6/17/2017,1660
6/18/2017,1210
6/19/2017,1380
6/20/2017,2510
6/21/2017,2530
6/22/2017,1280
6/23/2017,1390
6/24/2017,1450
6/25/2017,1220
6/26/2017,1080
6/27/2017,1070
6/28/2017,1060
6/29/2017,1360
6/30/2017,3140
7/1/2017,2320
7/2/2017,1720
7/3/2017,1440
7/4/2017,1160
7/5/2017,1220
7/6/2017,1500
7/7/2017,1260
7/8/2017,1210
7/9/2017,1120
7/10/2017,1090
7/11/2017,1230
7/12/2017,1750
7/13/2017,1170
7/14/2017,1240
7/15/2017,1390
7/16/2017,1130
7/17/2017,2690
7/18/2017,3150
7/19/2017,1310
7/20/2017,1150
7/21/2017,1150
7/22/2017,1220
7/23/2017,1180
7/24/2017,1580
7/25/2017,2140
7/26/2017,1300
7/27/2017,1580
7/28/2017,1520
7/29/2017,1260
7/30/2017,1220
7/31/2017,1060
8/1/2017,1230
8/2/2017,1230
8/3/2017,1070
8/4/2017,1020
8/5/2017,1140
8/6/2017,1030
8/7/2017,1610
8/8/2017,2310
8/9/2017,4190
8/10/2017,1380
8/11/2017,1190
8/12/2017,1120
8/13/2017,1000
8/14/2017,1010
8/15/2017,1020
8/16/2017,1060
8/17/2017,1090
8/18/2017,1060
8/19/2017,1010
8/20/2017,1000
8/21/2017,1010
8/22/2017,1000
8/23/2017,1010
8/24/2017,998
8/25/2017,996
8/26/2017,975
8/27/2017,984
8/28/2017,984
8/29/2017,991
8/30/2017,1020
8/31/2017,1900
9/1/2017,1970
9/2/2017,1150
9/3/2017,996
9/4/2017,983
9/5/2017,1110
9/6/2017,1520
9/7/2017,1040
9/8/2017,975
9/9/2017,983
9/10/2017,984
9/11/2017,2990
9/12/2017,5490
9/13/2017,2440
9/14/2017,1140
9/15/2017,1000
9/16/2017,992
9/17/2017,1000
9/18/2017,990
9/19/2017,992
9/20/2017,1010
9/21/2017,985
9/22/2017,981
9/23/2017,1150
9/24/2017,972
9/25/2017,993
9/26/2017,1000
9/27/2017,1010
9/28/2017,1040
9/29/2017,971
9/30/2017,955
10/1/2017,947
10/2/2017,949
10/3/2017,970
10/4/2017,966
10/5/2017,959
10/6/2017,975
10/7/2017,985
10/8/2017,1870
10/9/2017,1320
10/10/2017,1100
10/11/2017,967
10/12/2017,953
10/13/2017,945
10/14/2017,944
10/15/2017,948
10/16/2017,956
10/17/2017,944
10/18/2017,939
10/19/2017,902
10/20/2017,935
10/21/2017,937
10/22/2017,934
10/23/2017,2690
10/24/2017,2800
10/25/2017,1140
10/26/2017,951
10/27/2017,926
10/28/2017,1100
10/29/2017,1240
10/30/2017,969
10/31/2017,1140
11/1/2017,883
11/2/2017,1060
11/3/2017,828
11/4/2017,881
11/5/2017,900
11/6/2017,894
11/7/2017,950
11/8/2017,840
11/9/2017,1200
11/10/2017,928
11/11/2017,814
11/12/2017,808
11/13/2017,854
11/14/2017,927
11/15/2017,831
11/16/2017,820
11/17/2017,858
11/18/2017,895
11/19/2017,916
11/20/2017,812
11/21/2017,928
11/22/2017,817
11/23/2017,815
11/24/2017,819
11/25/2017,819
11/26/2017,893
11/27/2017,942
11/28/2017,968
11/29/2017,916
11/30/2017,944
12/1/2017,941
12/2/2017,912
12/3/2017,902
12/4/2017,882
12/5/2017,875
12/6/2017,929
12/7/2017,984
12/8/2017,1140
12/9/2017,1450
12/10/2017,1290
12/11/2017,1020
12/12/2017,1100
12/13/2017,891
12/14/2017,1040
12/15/2017,968
12/16/2017,894
12/17/2017,902
12/18/2017,907
12/19/2017,902
12/20/2017,1660
12/21/2017,2870
12/22/2017,1330
12/23/2017,1100
12/24/2017,1260
12/25/2017,1150
12/26/2017,1250
12/27/2017,902
12/28/2017,886
12/29/2017,881
12/30/2017,884
12/31/2017,1000
1/1/2018,960
1/2/2018,1030
1/3/2018,1140
1/4/2018,881
1/5/2018,935
1/6/2018,1170
1/7/2018,925
1/8/2018,940
1/9/2018,981
1/10/2018,941
1/11/2018,985
1/12/2018,1580
1/13/2018,1540
1/14/2018,992
1/15/2018,953
1/16/2018,942
1/17/2018,1030
1/18/2018,923
1/19/2018,942
1/20/2018,943
1/21/2018,939
1/22/2018,951
1/23/2018,1010
1/24/2018,1110
1/25/2018,1050
1/26/2018,992
1/27/2018,901
1/28/2018,1580
1/29/2018,2560
1/30/2018,1400
1/31/2018,913
2/1/2018,908
2/2/2018,1140
2/3/2018,919
2/4/2018,4780
2/5/2018,3890
2/6/2018,2110
2/7/2018,3310
2/8/2018,3040
2/9/2018,1940
2/10/2018,1520
2/11/2018,2390
2/12/2018,3870
2/13/2018,1870
2/14/2018,1200
2/15/2018,1120
2/16/2018,1080
2/17/2018,937
2/18/2018,1000
2/19/2018,1550
2/20/2018,1540
2/21/2018,1910
2/22/2018,2360
2/23/2018,2550
2/24/2018,3310
2/25/2018,3680
2/26/2018,3600
2/27/2018,3070
2/28/2018,2970
3/1/2018,3420
3/2/2018,4530
3/3/2018,4540
3/4/2018,4320
3/5/2018,4140
3/6/2018,5100
3/7/2018,4270
3/8/2018,3490
3/9/2018,3570
3/10/2018,3190
3/11/2018,4570
3/12/2018,4750
3/13/2018,2920
3/14/2018,3380
3/15/2018,2090
3/16/2018,2150
3/17/2018,1470
3/18/2018,1810
3/19/2018,2330
3/20/2018,3450
3/21/2018,3430
3/22/2018,4110
